,Company Name,Manufacturing
0,"10 Sachuest Drive, LLC",False
1,"1120 Park, LLC",False
2,115 Williams Street LLC,False
3,"117 Realty, LLC",False
4,"11TH MUSE PUBLISHERS, LLC",False
5,"12 Bluff Avenue, LLC",False
6,"121 Avondale Road, LLC",False
7,151 Boston Neck Road LLC,False
8,2 Ocean Lawn Lane LLC,False
9,"219 Linwood, LLC",False
10,220 Willett Road LLC,False
11,26.2+ LLC,False
12,2A Apparel Inc.,False
13,"32 John Street, LLC",False
14,"33 Gaspee, LLC",False
15,3305 LLC,False
16,"332 Canonchet, LLC",False
17,"3611, LLC",False
18,"39 TLS, LLC",False
19,4 BALL INVESTMENTS LLC,False
20,40 PINE MARITIME LLC,False
21,401 Cleaning LLC,False
